Name,Team,Rec,Yds,Tgt,Avg,TD,FstDn,Pct,Lng,Fum,FumL,Season,Wk
"Jefferson, Shawn",ATL,7,148,12,21.1,1,7,100,48,0,0,2000,101
"Boston, David",ARZ,9,128,11,14.2,2,7,77.8,25,0,0,2000,101
"Hakim, Az-Zahir",STL,5,116,6,23.2,1,3,60,80,0,0,2000,101
"McCaffrey, Ed",DEN,7,115,8,16.4,0,5,71.4,35,0,0,2000,101
"McCardell, Keenan",JAX,9,115,11,12.8,0,7,77.8,24,0,0,2000,101
"Harrison, Marvin",IND,9,115,13,12.8,0,7,77.8,31,0,0,2000,101
"Ward, Dedric",NYJ,5,104,11,20.8,0,4,80,61,0,0,2000,101
"Holt, Torry",STL,6,103,8,17.2,0,5,83.3,27,0,0,2000,101
"Ismail, Qadry",BAL,7,102,11,14.6,1,5,71.4,53,0,0,2000,101
"Faulk, Marshall",STL,4,100,7,25,1,2,50,72,0,0,2000,101
"Moss, Randy",MIN,4,89,7,22.3,0,2,50,66,1,0,2000,101
"Smith, Rod",DEN,3,88,9,29.3,1,3,100,47,0,0,2000,101
"Robinson, Marcus",CHI,7,86,9,12.3,1,2,28.6,48,1,1,2000,101
"Brady, Kyle",JAX,5,85,6,17,0,4,80,27,0,0,2000,101
"Dawson, JaJuan",CLE,6,83,7,13.8,1,4,66.7,26,0,0,2000,101
"Sanders, Frank",ARZ,5,78,13,15.6,0,4,80,26,0,0,2000,101
"Burress, Plaxico",PIT,4,77,9,19.3,0,4,100,39,0,0,2000,101
"Mathis, Terance",ATL,3,72,6,24,1,3,100,44,0,0,2000,101
"Owens, Terrell",SF,7,72,12,10.3,1,4,57.1,19,0,0,2000,101
"Pittman, Michael",ARZ,6,71,6,11.8,0,2,33.3,21,0,0,2000,101
"Hayes, Donald",CAR,4,71,6,17.8,0,3,75,31,0,0,2000,101
"Brown, Troy",NE,7,70,7,10,0,4,57.1,26,0,0,2000,101
"Green, Jacquez",TB,2,67,7,33.5,0,2,100,34,0,0,2000,101
"Johnson, Keyshawn",TB,4,64,7,16,0,4,100,27,0,0,2000,101
"Graham, Jeff",SD,4,62,12,15.5,0,4,100,28,0,0,2000,101
"Galloway, Joey",DAL,4,62,12,15.5,1,4,100,22,0,0,2000,101
"Hilliard, Ike",NYG,3,62,4,20.7,0,2,66.7,29,0,0,2000,101
"Faulk, Kevin",NE,11,62,14,5.6,0,2,18.2,10,1,1,2000,101
"Engram, Bobby",CHI,8,61,12,7.6,0,3,37.5,25,0,0,2000,101
"Staley, Duce",PHI,4,61,7,15.3,0,4,100,26,0,0,2000,101
"Bruce, Isaac",STL,4,60,5,15,0,3,75,25,0,0,2000,101
"Rice, Jerry",SF,5,59,9,11.8,0,5,100,18,0,0,2000,101
"Freeman, Antonio",GB,3,59,4,19.7,0,2,66.7,48,0,0,2000,101
"Booker, Marty",CHI,6,59,6,9.8,0,3,50,12,1,0,2000,101
"Horn, Joe",NO,5,58,7,11.6,0,3,60,19,0,0,2000,101
"Morris, Sylvester",KC,3,58,7,19.3,0,3,100,31,0,0,2000,101
"Centers, Larry",WSH,7,56,7,8,0,2,28.6,26,0,0,2000,101
"Glenn, Terry",NE,4,56,7,14,1,2,50,39,0,0,2000,101
"Pathon, Jerome",IND,3,55,4,18.3,0,2,66.7,33,0,0,2000,101
"Westbrook, Michael",WSH,5,53,7,10.6,0,4,80,13,0,0,2000,101
"Smith, Jimmy",JAX,6,52,10,8.7,1,4,66.7,16,0,0,2000,101
"Morton, Johnnie",DET,4,52,7,13,0,3,75,19,0,0,2000,101
"Wycheck, Frank",TEN,4,51,8,12.8,0,3,75,22,0,0,2000,101
"Conway, Curtis",SD,5,50,12,10,0,3,60,14,0,0,2000,101
"Alexander, Derrick",KC,5,50,10,10,1,2,40,21,0,0,2000,101
"Taylor, Travis",BAL,4,50,7,12.5,0,2,50,28,0,0,2000,101
"Rison, Andre",OAK,5,49,5,9.8,1,3,60,14,0,0,2000,101
"Shaw, Bobby",PIT,4,49,5,12.3,0,3,75,18,0,0,2000,101
"Muhammad, Muhsin",CAR,6,48,8,8,0,1,16.7,22,0,0,2000,101
"Chrebet, Wayne",NYJ,5,47,9,9.4,0,5,100,11,0,0,2000,101
"Reed, Jake",NO,3,46,5,15.3,0,2,66.7,17,0,0,2000,101
"Moulds, Eric",BUF,2,46,5,23,0,1,50,36,0,0,2000,101
"Garner, Charlie",SF,3,45,4,15,0,2,66.7,24,0,0,2000,101
"George, Eddie",TEN,6,44,8,7.3,0,1,16.7,10,0,0,2000,101
"Jones, Freddie",SD,5,43,8,8.6,0,2,40,15,0,0,2000,101
"Comella, Greg",NYG,5,42,6,8.4,0,2,40,25,1,1,2000,101
"Price, Peerless",BUF,4,42,9,10.5,1,3,75,15,0,0,2000,101
"Anderson, Richie",NYJ,3,41,8,13.7,0,2,66.7,34,0,0,2000,101
"Proehl, Ricky",STL,3,40,4,13.3,1,3,100,22,0,0,2000,101
"McDaniel, Jeremy",BUF,3,40,4,13.3,0,3,100,20,0,0,2000,101
"James, Edgerrin",IND,6,40,7,6.7,1,1,16.7,27,0,0,2000,101
"Brown, Tim",OAK,5,39,13,7.8,0,2,40,11,0,0,2000,101
"Schroeder, Bill",GB,3,38,8,12.7,0,3,100,14,0,0,2000,101
"Chamberlain, Byron",DEN,1,38,2,38,0,1,100,38,0,0,2000,101
"Davis, Stephen",WSH,4,37,6,9.3,0,2,50,14,0,0,2000,101
"Ismail, Raghib",DAL,3,36,5,12,0,2,66.7,20,0,0,2000,101
"Allred, John",CHI,2,36,3,18,1,2,100,18,0,0,2000,101
"Toomer, Amani",NYG,4,35,5,8.8,0,3,75,11,0,0,2000,101
"Green, E.G.",IND,2,35,3,17.5,0,2,100,21,0,0,2000,101
"Martin, Curtis",NYJ,6,34,8,5.7,1,1,16.7,9,0,0,2000,101
"Gonzalez, Tony",KC,2,34,6,17,0,2,100,26,0,0,2000,101
"Watters, Ricky",SEA,3,32,5,10.7,0,2,66.7,15,0,0,2000,101
"Holmes, Priest",BAL,4,32,4,8,0,2,50,13,0,0,2000,101
"Johnson, Kevin",CLE,3,32,4,10.7,0,2,66.7,17,0,0,2000,101
"Kleinsasser, Jim",MIN,2,32,3,16,0,1,50,21,0,0,2000,101
"Davis, John",MIN,2,31,2,15.5,0,1,50,22,0,0,2000,101
"Shepherd, Leslie",MIA,3,30,4,10,0,1,33.3,20,0,0,2000,101
"Ritchie, Jon",OAK,2,30,5,15,0,2,100,17,0,0,2000,101
"Lockett, Kevin",KC,2,29,7,14.5,0,2,100,17,0,0,2000,101
"Williams, Ricky",NO,4,29,7,7.3,0,1,25,17,0,0,2000,101
"Pinkston, Todd",PHI,3,29,3,9.7,0,1,33.3,11,0,0,2000,101
"Walls, Wesley",CAR,3,28,7,9.3,1,1,33.3,20,0,0,2000,101
"Dilger, Ken",IND,2,28,4,14,0,1,50,22,0,0,2000,101
"Carswell, Dwayne",DEN,2,27,3,13.5,0,1,50,18,0,0,2000,101
"Bruener, Mark",PIT,2,27,4,13.5,0,1,50,22,0,0,2000,101
"Clark, Greg",SF,4,27,6,6.8,0,1,25,11,1,0,2000,101
"Connell, Albert",WSH,2,27,6,13.5,0,2,100,16,0,0,2000,101
"Carter, Cris",MIN,2,26,6,13,0,1,50,17,0,0,2000,101
"Brisby, Vincent",NYJ,2,25,4,12.5,0,1,50,19,0,0,2000,101
"Wheatley, Tyrone",OAK,3,25,4,8.3,0,1,33.3,12,0,0,2000,101
"Stokes, J.J.",SF,1,25,2,25,0,1,100,25,0,0,2000,101
"Barber, Tiki",NYG,3,25,5,8.3,0,1,33.3,15,0,0,2000,101
"Beasley, Fred",SF,3,25,3,8.3,2,3,100,17,0,0,2000,101
"Richardson, Tony",KC,2,24,3,12,1,1,50,13,0,0,2000,101
"Shea, Aaron",CLE,1,24,2,24,0,1,100,24,1,1,2000,101
"Pickens, Carl",TEN,2,23,3,11.5,0,1,50,18,0,0,2000,101
"Bryson, Shawn",BUF,1,23,2,23,0,1,100,23,0,0,2000,101
"Fryar, Irving",WSH,1,22,2,22,0,1,100,22,0,0,2000,101
"Thomas, Thurman",MIA,3,22,4,7.3,0,1,33.3,15,0,0,2000,101
"Griffith, Howard",DEN,2,22,2,11,0,2,100,13,0,0,2000,101
"Thrash, James",WSH,3,22,4,7.3,0,1,33.3,11,0,0,2000,101
"Gadsden, Oronde",MIA,2,21,3,10.5,1,1,50,16,0,0,2000,101
"Green, Ahman",GB,3,21,7,7,0,1,33.3,14,0,0,2000,101
"Anderson, Jamal",ATL,1,20,2,20,0,1,100,20,0,0,2000,101
"Biakabutuka, Tim",CAR,2,20,2,10,0,0,0,13,0,0,2000,101
"Ward, Hines",PIT,2,20,2,10,0,1,50,13,0,0,2000,101
"Martin, Tony",MIA,2,19,7,9.5,0,1,50,10,0,0,2000,101
"Jackson, Willie",NO,2,19,6,9.5,0,1,50,11,1,1,2000,101
"Holcombe, Robert",STL,2,19,3,9.5,0,1,50,15,0,0,2000,101
"Sanders, Chris",TEN,1,18,2,18,0,1,100,18,0,0,2000,101
"Jones, Thomas",ARZ,4,18,6,4.5,0,1,25,6,0,0,2000,101
"Bennett, Donnell",KC,2,17,2,8.5,0,1,50,13,0,0,2000,101
"Allen, James",CHI,1,17,2,17,0,1,100,17,0,0,2000,101
"Emanuel, Bert",MIA,1,16,2,16,0,1,100,16,0,0,2000,101
"Kennison, Eddie",CHI,2,16,3,8,0,1,50,9,0,0,2000,101
"Bjornson, Eric",NE,2,15,4,7.5,0,1,50,11,0,0,2000,101
"Davis, Tyrone",GB,2,15,6,7.5,1,2,100,11,0,0,2000,101
"Enis, Curtis",CHI,1,15,1,15,0,1,100,15,0,0,2000,101
"Jackson, Darrell",SEA,2,15,6,7.5,0,0,0,9,0,0,2000,101
"Poole, Keith",NO,3,14,6,4.7,0,1,33.3,6,1,0,2000,101
"Irvin, Sedrick",DET,1,14,2,14,0,1,100,14,0,0,2000,101
"Morris, Sammy",BUF,1,14,1,14,0,1,100,14,0,0,2000,101
"Rhett, Errict",CLE,5,13,7,2.6,0,0,0,8,0,0,2000,101
"Brigham, Jeremy",OAK,1,13,1,13,0,1,100,13,0,0,2000,101
"Howard, Chris",JAX,1,13,2,13,0,1,100,13,0,0,2000,101
"Jenkins, Martay",ARZ,1,13,6,13,0,1,100,13,0,0,2000,101
"Christian, Bob",ATL,1,12,3,12,0,1,100,12,0,0,2000,101
"Jett, James",OAK,1,12,4,12,0,1,100,12,0,0,2000,101
"Smith, Lamar",MIA,1,12,1,12,0,0,0,12,0,0,2000,101
"Roan, Michael",TEN,3,12,3,4,0,0,0,6,0,0,2000,101
"Fletcher, Terrell",SD,1,12,3,12,0,1,100,12,0,0,2000,101
"Huntley, Richard",PIT,2,12,4,6,0,0,0,6,0,0,2000,101
"Mangum, Kris",CAR,1,12,1,12,0,1,100,12,0,0,2000,101
"Jones, Damon",JAX,1,12,1,12,0,1,100,12,0,0,2000,101
"Shelton, Daimon",JAX,1,12,1,12,0,1,100,12,0,0,2000,101
"Broughton, Luther",PHI,2,12,2,6,0,1,50,8,0,0,2000,101
"Whitted, Alvis",JAX,1,12,2,12,0,1,100,12,0,0,2000,101
"Stablein, Brian",DET,1,11,2,11,0,1,100,11,0,0,2000,101
"Lee, Charles",GB,1,11,4,11,0,1,100,11,0,0,2000,101
"Parmalee, Bernie",NYJ,2,10,3,5,0,0,0,5,0,0,2000,101
"Sloan, David",DET,2,10,6,5,0,0,0,7,0,0,2000,101
"McCrary, Fred",SD,1,10,1,10,0,1,100,10,0,0,2000,101
"Ayanbadejo, Obafemi",BAL,2,10,3,5,0,0,0,7,0,0,2000,101
"Mili, Itula",SEA,1,10,1,10,0,1,100,10,0,0,2000,101
"Kelly, Reggie",ATL,2,10,3,5,0,0,0,7,0,0,2000,101
"McGarity, Wane",DAL,1,10,3,10,0,0,0,10,0,0,2000,101
"Gary, Olandis",DEN,3,10,4,3.3,0,0,0,7,0,0,2000,101
"Campbell, Dan",NYG,1,10,1,10,0,1,100,10,0,0,2000,101
"Wiley, Michael",DAL,1,10,1,10,0,0,0,10,0,0,2000,101
"Jordan, Andrew",MIN,1,9,3,9,0,0,0,9,0,0,2000,101
"McKnight, James",DAL,1,9,2,9,0,0,0,9,0,0,2000,101
"Mayes, Derrick",SEA,1,9,2,9,0,1,100,9,0,0,2000,101
"Brown, Reggie",SEA,2,9,3,4.5,0,1,50,6,0,0,2000,101
"Riemersma, Jay",BUF,2,9,3,4.5,0,0,0,8,0,0,2000,101
"Patten, David",CLE,2,9,4,4.5,0,0,0,5,0,0,2000,101
"Simmons, Tony",NE,1,9,3,9,0,1,100,9,0,0,2000,101
"Alexander, Stephen",WSH,2,9,3,4.5,0,1,50,5,0,0,2000,101
"Williams, James",SEA,1,9,1,9,0,0,0,9,0,0,2000,101
"Goodwin, Hunter",MIA,1,8,1,8,0,0,0,8,0,0,2000,101
"Van Dyke, Alex",PHI,1,8,4,8,0,1,100,8,0,0,2000,101
"Williams, Karl",TB,1,8,2,8,0,0,0,8,0,0,2000,101
"Anthony, Reidel",TB,1,8,2,8,1,1,100,8,0,0,2000,101
"Cody, Mac",ARZ,1,8,1,8,0,0,0,8,0,0,2000,101
"Davis, Reginald",SD,1,8,1,8,0,0,0,8,0,0,2000,101
"Flemister, Zeron",WSH,1,8,1,8,0,0,0,8,0,0,2000,101
"Bettis, Jerome",PIT,1,7,2,7,0,0,0,7,0,0,2000,101
"Clark, Desmond",DEN,1,7,1,7,1,1,100,7,0,0,2000,101
"Edwards, Troy",PIT,2,7,6,3.5,0,0,0,4,0,0,2000,101
"Moore, Dave",TB,1,6,2,6,0,0,0,6,0,0,2000,101
"Kozlowski, Brian",ATL,1,6,1,6,0,1,100,6,0,0,2000,101
"Schlesinger, Cory",DET,1,6,1,6,0,0,0,6,0,0,2000,101
"Alstott, Mike",TB,1,6,1,6,0,0,0,6,0,0,2000,101
"Lewis, Chad",PHI,1,6,2,6,0,0,0,6,0,0,2000,101
"Chancey, Robert",SD,1,6,1,6,0,0,0,6,0,0,2000,101
"Ricks, Mikhael",SD,1,6,1,6,0,1,100,6,0,0,2000,101
"Konrad, Rob",MIA,2,6,2,3,0,0,0,3,0,0,2000,101
"Porter, Jerry",OAK,1,6,1,6,0,0,0,6,0,0,2000,101
"Mitchell, Brian",PHI,1,5,1,5,0,1,100,5,0,0,2000,101
"Coates, Ben",BAL,1,5,2,5,0,0,0,5,0,0,2000,101
"Warren, Chris",DAL,1,5,3,5,0,0,0,5,0,0,2000,101
"Johnson, Charles",PHI,1,5,2,5,0,0,0,5,0,0,2000,101
"Dudley, Rickey",OAK,1,5,1,5,0,0,0,5,0,0,2000,101
"Dunn, Warrick",TB,1,5,2,5,0,0,0,5,0,0,2000,101
"Crowell, Germane",DET,2,5,5,2.5,0,0,0,7,0,0,2000,101
"Thigpen, Yancey",TEN,1,4,1,4,0,0,0,4,0,0,2000,101
"Floyd, William",CAR,1,4,1,4,0,0,0,4,0,0,2000,101
"Henderson, William",GB,1,4,1,4,0,0,0,4,0,0,2000,101
"Rutledge, Rod",NE,1,4,1,4,0,0,0,4,0,0,2000,101
"Franks, Bubba",GB,1,4,1,4,0,1,100,4,0,0,2000,101
"Harris, Jackie",DAL,2,3,4,1.5,0,0,0,3,0,0,2000,101
"Robinson, Jeff",STL,1,3,1,3,0,0,0,3,0,0,2000,101
"Smith, Robert",MIN,2,3,2,1.5,0,0,0,4,0,0,2000,101
"Abdullah, Rabih",TB,1,3,1,3,0,0,0,3,0,0,2000,101
"Morton, Chad",NO,1,3,1,3,0,0,0,3,0,0,2000,101
"Martin, Cecil",PHI,1,2,1,2,0,0,0,2,0,0,2000,101
"Makovicka, Joel",ARZ,2,2,3,1,0,0,0,2,0,0,2000,101
"Thomason, Jeff",PHI,1,1,1,1,1,1,100,1,0,0,2000,101
"Small, Torrance",PHI,1,1,4,1,0,0,0,1,0,0,2000,101
"Rasby, Walter",DET,1,1,1,1,0,0,0,1,0,0,2000,101
"Stewart, James",DET,1,1,1,1,0,0,0,1,0,0,2000,101
"Calloway, Chris",NE,0,0,1,-,0,0,,0,0,0,2000,101
"Anders, Kimble",KC,0,0,1,-,0,0,,0,0,0,2000,101
"Sharpe, Shannon",BAL,0,0,3,-,0,0,,0,0,0,2000,101
"Dawkins, Sean",SEA,0,0,3,-,0,0,,0,0,0,2000,101
"Drayton, Troy",KC,0,0,1,-,0,0,,0,0,0,2000,101
"Neal, Lorenzo",TEN,0,0,1,-,0,0,,0,0,0,2000,101
"Witman, Jon",PIT,0,0,1,-,0,0,,0,0,0,2000,101
"Villarrial, Chris",CHI,0,0,1,-,0,0,,0,0,0,2000,101
"Dwight, Tim",ATL,0,0,1,-,0,0,,0,0,0,2000,101
"Mayes, Alonzo",CHI,0,0,1,-,0,0,,0,0,0,2000,101
"Thomas, Robert",DAL,0,0,1,-,0,0,,0,0,0,2000,101
"Dyson, Kevin",TEN,0,0,2,-,0,0,,0,0,0,2000,101
"Williams, Roland",STL,0,0,1,-,0,0,,0,0,0,2000,101
"Jurevicius, Joe",NYG,0,0,2,-,0,0,,0,0,0,2000,101
"Hardy, Terry",ARZ,0,0,1,-,0,0,,0,0,0,2000,101
"Brooks, Macey",CHI,0,0,1,-,0,0,,0,0,0,2000,101
"Chiaverini, Darrin",CLE,0,0,1,-,0,0,,0,0,0,2000,101
"Driver, Donald",GB,0,0,1,-,0,0,,0,0,0,2000,101
"Mitchell, Basil",GB,0,0,2,-,0,0,,0,0,0,2000,101
"Douglas, Dameane",PHI,0,0,1,-,0,0,,0,0,0,2000,101
"Finneran, Brian",ATL,0,0,1,-,0,0,,0,0,0,2000,101
"Johnson, Malcolm",PIT,0,0,4,-,0,0,,0,0,0,2000,101
"Rogers, Charlie",SEA,0,0,1,-,0,0,,0,0,0,2000,101
"Northcutt, Dennis",CLE,1,0,1,0,0,0,0,0,0,0,2000,101
"Kinney, Erron",TEN,0,0,1,-,0,0,,0,0,0,2000,101
"Geason, Cory",PIT,0,0,1,-,0,0,,0,0,0,2000,101
"Gaylor, Trevor",SD,0,0,3,-,0,0,,0,0,0,2000,101
"Alexander, Shaun",SEA,0,0,2,-,0,0,,0,0,0,2000,101
"Edwards, Marc",CLE,1,-1,1,-1,0,0,0,-1,0,0,2000,101
"Dayne, Ron",NYG,1,-2,1,-2,0,0,0,-2,0,0,2000,101
"Jordan, Randy",OAK,1,-3,1,-3,0,0,0,-3,0,0,2000,101
"Chandler, Chris",ATL,1,-4,1,-4,0,0,0,-4,0,0,2000,101
"Smith, Jimmy",JAX,15,291,21,19.4,3,10,66.7,45,0,0,2000,102
"Carter, Cris",MIN,9,168,14,18.7,0,7,77.8,42,0,0,2000,102
"Harrison, Marvin",IND,10,141,16,14.1,1,8,80,50,0,0,2000,102
"Martin, Tony",MIA,6,120,12,20,0,5,83.3,44,0,0,2000,102
"Smith, Rod",DEN,7,117,11,16.7,2,7,100,37,0,0,2000,102
"Horn, Joe",NO,12,116,15,9.7,2,8,66.7,18,0,0,2000,102
"Hayes, Donald",CAR,6,115,7,19.2,1,5,83.3,38,0,0,2000,102
"Muhammad, Muhsin",CAR,8,108,10,13.5,1,6,75,36,1,0,2000,102
"Dyson, Kevin",TEN,6,104,9,17.3,1,5,83.3,30,0,0,2000,102
"Green, Jacquez",TB,5,104,7,20.8,1,3,60,58,0,0,2000,102
"Moulds, Eric",BUF,7,103,12,14.7,0,4,57.1,42,0,0,2000,102
"Boston, David",ARZ,6,102,7,17,0,4,66.7,63,1,0,2000,102
"Holt, Torry",STL,6,101,9,16.8,0,3,50,41,0,0,2000,102
"Ward, Dedric",NYJ,4,100,8,25,0,3,75,44,0,0,2000,102
"Walls, Wesley",CAR,5,99,6,19.8,1,4,80,54,0,0,2000,102
"Stokes, J.J.",SF,5,98,5,19.6,1,5,100,26,0,0,2000,102
"Bruce, Isaac",STL,6,97,9,16.2,0,4,66.7,50,0,0,2000,102
"Owens, Terrell",SF,5,97,10,19.4,0,2,40,53,1,1,2000,102
"Dilger, Ken",IND,8,96,9,12,0,4,50,32,1,1,2000,102
"Patten, David",CLE,3,95,5,31.7,0,3,100,65,0,0,2000,102
"Anderson, Richie",NYJ,6,88,9,14.7,0,6,100,22,0,0,2000,102
"Morton, Johnnie",DET,5,88,11,17.6,0,4,80,27,0,0,2000,102
"Moss, Randy",MIN,6,87,11,14.5,1,5,83.3,23,1,0,2000,102
"McKnight, James",DAL,5,86,8,17.2,1,3,60,47,1,1,2000,102
"Faulk, Marshall",STL,9,85,11,9.4,0,4,44.4,27,0,0,2000,102
"Hilliard, Ike",NYG,8,84,11,10.5,1,6,75,30,0,0,2000,102
"Glenn, Terry",NE,6,81,12,13.5,0,6,100,20,0,0,2000,102
"Freeman, Antonio",GB,7,80,9,11.4,2,6,85.7,18,0,0,2000,102
"Toomer, Amani",NYG,7,80,9,11.4,1,5,71.4,25,0,0,2000,102
"Warrick, Peter",CIN,3,80,8,26.7,0,3,100,46,0,0,2000,102
"Taylor, Travis",BAL,4,80,6,20,2,3,75,40,0,0,2000,102
"Chrebet, Wayne",NYJ,4,71,7,17.8,2,3,75,28,0,0,2000,102
"Dawkins, Sean",SEA,6,70,12,11.7,0,5,83.3,17,0,0,2000,102
"Riemersma, Jay",BUF,4,70,4,17.5,2,4,100,26,0,0,2000,102
"Ismail, Raghib",DAL,5,69,7,13.8,0,3,60,22,0,0,2000,102
"Brown, Tim",OAK,4,68,7,17,0,3,75,26,0,0,2000,102
"Lewis, Chad",PHI,4,67,4,16.8,1,3,75,31,0,0,2000,102
"McCardell, Keenan",JAX,7,61,9,8.7,0,3,42.9,17,0,0,2000,102
"Pathon, Jerome",IND,5,61,8,12.2,0,4,80,16,0,0,2000,102
"Dwight, Tim",ATL,2,60,3,30,1,2,100,35,0,0,2000,102
"Johnson, Kevin",CLE,5,59,8,11.8,0,3,60,18,0,0,2000,102
"Staley, Duce",PHI,7,58,9,8.3,0,3,42.9,14,0,0,2000,102
"Driver, Donald",GB,2,58,2,29,0,1,50,49,0,0,2000,102
"Harris, Jackie",DAL,7,56,9,8,1,4,57.1,21,0,0,2000,102
"Sanders, Frank",ARZ,4,56,7,14,2,3,75,24,0,0,2000,102
"Beasley, Fred",SF,3,56,8,18.7,0,2,66.7,34,0,0,2000,102
"Alexander, Derrick",KC,5,54,6,10.8,1,3,60,16,0,0,2000,102
"Carswell, Dwayne",DEN,5,54,5,10.8,0,4,80,15,0,0,2000,102
"Centers, Larry",WSH,4,53,5,13.3,0,4,100,17,0,0,2000,102
"Ayanbadejo, Obafemi",BAL,7,53,8,7.6,1,3,42.9,12,0,0,2000,102
"Mili, Itula",SEA,3,52,4,17.3,0,3,100,23,0,0,2000,102
"Reed, Jake",NO,5,51,9,10.2,0,4,80,17,0,0,2000,102
"Crowell, Germane",DET,6,51,9,8.5,0,2,33.3,18,0,0,2000,102
"Sharpe, Shannon",BAL,3,50,7,16.7,1,1,33.3,29,0,0,2000,102
"Wycheck, Frank",TEN,6,50,8,8.3,0,3,50,11,0,0,2000,102
"Westbrook, Michael",WSH,4,50,6,12.5,0,3,75,21,0,0,2000,102
"Johnson, Charles",PHI,5,48,7,9.6,0,2,40,20,0,0,2000,102
"Rison, Andre",OAK,2,47,3,23.5,0,2,100,34,0,0,2000,102
"Graham, Jeff",SD,3,46,4,15.3,0,2,66.7,20,0,0,2000,102
"Brooks, Robert",DEN,2,46,4,23,0,2,100,25,0,0,2000,102
"Dillon, Corey",CIN,2,46,3,23,0,2,100,31,0,0,2000,102
"Watters, Ricky",SEA,5,44,6,8.8,0,3,60,15,0,0,2000,102
"Proehl, Ricky",STL,4,44,4,11,0,3,75,19,0,0,2000,102
"Morris, Sylvester",KC,3,44,6,14.7,0,3,100,20,0,0,2000,102
"Pickens, Carl",TEN,3,43,8,14.3,0,3,100,20,0,0,2000,102
"Mathis, Terance",ATL,2,42,8,21,0,2,100,21,0,0,2000,102
"Davis, John",MIN,2,42,2,21,0,1,50,37,0,0,2000,102
"Jackson, Darrell",SEA,2,42,3,21,1,2,100,34,0,0,2000,102
"Hakim, Az-Zahir",STL,6,41,8,6.8,0,4,66.7,15,0,0,2000,102
"Bjornson, Eric",NE,6,39,10,6.5,1,2,33.3,19,0,0,2000,102
"McDaniel, Jeremy",BUF,3,38,3,12.7,1,2,66.7,22,0,0,2000,102
"Yeast, Craig",CIN,2,38,5,19,0,2,100,25,0,0,2000,102
"Jefferson, Shawn",ATL,2,37,5,18.5,0,2,100,20,1,0,2000,102
"Price, Peerless",BUF,3,36,4,12,0,3,100,14,0,0,2000,102
"James, Edgerrin",IND,6,36,7,6,1,2,33.3,12,0,0,2000,102
"Fryar, Irving",WSH,3,35,5,11.7,0,2,66.7,21,0,0,2000,102
"Dudley, Rickey",OAK,3,35,3,11.7,0,2,66.7,14,1,0,2000,102
"McGee, Tony",CIN,1,34,4,34,0,1,100,34,0,0,2000,102
"Davis, Billy",BAL,2,34,3,17,0,2,100,19,0,0,2000,102
"Connell, Albert",WSH,2,34,6,17,0,1,50,17,0,0,2000,102
"Johnson, Keyshawn",TB,2,32,5,16,1,2,100,19,0,0,2000,102
"Conway, Curtis",SD,3,31,8,10.3,1,1,33.3,20,0,0,2000,102
"Henderson, William",GB,3,31,3,10.3,0,1,33.3,25,0,0,2000,102
"Bennett, Brandon",CIN,2,30,2,15,0,1,50,23,1,0,2000,102
"Shea, Aaron",CLE,1,30,1,30,0,1,100,30,0,0,2000,102
"Lee, Charles",GB,3,30,4,10,0,2,66.7,11,0,0,2000,102
"Jones, Thomas",ARZ,2,30,3,15,0,2,100,20,0,0,2000,102
"Barber, Tiki",NYG,3,29,4,9.7,0,1,33.3,20,0,0,2000,102
"Davis, Stephen",WSH,3,28,4,9.3,0,2,66.7,13,0,0,2000,102
"Lockett, Kevin",KC,2,28,6,14,0,2,100,15,0,0,2000,102
"Moore, Herman",DET,2,27,4,13.5,0,1,50,20,0,0,2000,102
"Brown, Troy",NE,4,27,4,6.8,0,2,50,9,0,0,2000,102
"Jordan, Andrew",MIN,3,27,4,9,0,1,33.3,11,0,0,2000,102
"Williams, Karl",TB,1,27,1,27,0,1,100,27,0,0,2000,102
"Lewis, Jermaine",BAL,3,27,6,9,1,2,66.7,12,0,0,2000,102
"Williams, Ricky",NO,4,27,5,6.8,1,2,50,13,0,0,2000,102
"Murrell, Adrian",WSH,4,26,5,6.5,0,0,0,12,0,0,2000,102
"Wheatley, Tyrone",OAK,2,26,2,13,0,2,100,15,0,0,2000,102
"Robinson, Marcus",CHI,2,25,8,12.5,0,2,100,14,0,0,2000,102
"Irvin, Sedrick",DET,2,25,2,12.5,0,1,50,17,0,0,2000,102
"Thigpen, Yancey",TEN,3,24,3,8,1,1,33.3,12,0,0,2000,102
"Davis, Tyrone",GB,2,24,5,12,0,0,0,16,1,1,2000,102
"Gadsden, Oronde",MIA,2,24,4,12,0,1,50,15,0,0,2000,102
"Glover, Andrew",NO,4,23,7,5.8,0,2,50,11,0,0,2000,102
"Faulk, Kevin",NE,4,23,5,5.8,0,2,50,10,0,0,2000,102
"Wiley, Michael",DAL,3,23,5,7.7,1,1,33.3,15,0,0,2000,102
"Pinkston, Todd",PHI,1,23,6,23,0,1,100,23,0,0,2000,102
"Calloway, Chris",NE,1,22,1,22,0,1,100,22,0,0,2000,102
"Rice, Jerry",SF,3,22,4,7.3,0,1,33.3,11,0,0,2000,102
"Garner, Charlie",SF,4,22,6,5.5,0,0,0,10,0,0,2000,102
"Floyd, William",CAR,3,21,3,7,0,2,66.7,12,0,0,2000,102
"Floyd, Chris",NE,1,21,1,21,0,1,100,21,0,0,2000,102
"Gaylor, Trevor",SD,4,21,5,5.3,0,1,25,9,0,0,2000,102
